Time,Open,High,Low,Last
3/26/21 14:45,391.32,391.45,390.36,390.37
3/26/21 14:50,390.38,392.02,390.29,391.95
3/26/21 14:55,391.95,392.29,391.63,392.25
3/26/21 15:00,392.24,392.33,392.11,392.18
3/26/21 15:05,392.19,392.32,391.83,391.91
3/26/21 15:10,391.91,392.54,391.83,392.24
3/26/21 15:15,392.25,392.85,392.19,392.85
3/26/21 15:20,392.85,392.87,392.45,392.47
3/26/21 15:25,392.47,392.87,392.36,392.82
3/26/21 15:30,392.82,393.35,392.82,393.32
3/26/21 15:35,393.33,393.56,393.13,393.36
3/26/21 15:40,393.36,393.54,393.17,393.48
3/26/21 15:45,393.48,393.88,393.35,393.85
3/26/21 15:50,393.85,394.37,393.66,394.37
3/26/21 15:55,394.36,396.41,394.34,395.91
3/29/21 9:30,394.40,395.04,394.35,395.03
3/29/21 9:35,395.02,395.65,395.02,395.63
3/29/21 9:40,395.63,395.71,395.08,395.13
3/29/21 9:45,395.14,395.31,394.83,394.97
3/29/21 9:50,394.97,395.12,394.49,394.54
3/29/21 9:55,394.53,394.58,394.06,394.11
3/29/21 10:00,394.12,394.39,393.72,394.37
3/29/21 10:05,394.36,394.37,393.59,393.76
3/29/21 10:10,393.77,394.33,393.52,394.12
3/29/21 10:15,394.11,394.11,393.58,393.96
3/29/21 10:20,393.95,394.07,393.29,393.47
3/29/21 10:25,393.48,393.84,393.11,393.11
3/29/21 10:30,393.10,393.56,393.03,393.18
3/29/21 10:35,393.19,394.16,393.16,393.85
3/29/21 10:40,393.83,393.98,393.47,393.62
3/29/21 10:45,393.63,393.73,393.27,393.44
3/29/21 10:50,393.43,393.69,393.04,393.06
3/29/21 10:55,393.05,393.59,392.99,393.21
3/29/21 11:00,393.21,393.38,392.81,393.29
3/29/21 11:05,393.30,393.33,392.84,393.23
3/29/21 11:10,393.25,393.53,392.89,393.22
3/29/21 11:15,393.22,393.41,392.94,393.08
3/29/21 11:20,393.10,393.64,392.92,393.51
3/29/21 11:25,393.51,394.00,393.50,393.98
3/29/21 11:30,393.99,394.34,393.77,394.23
3/29/21 11:35,394.24,394.39,394.11,394.15
3/29/21 11:40,394.15,394.48,394.12,394.32
3/29/21 11:45,394.32,394.48,394.14,394.23
3/29/21 11:50,394.25,394.81,394.09,394.72
3/29/21 11:55,394.74,394.87,394.60,394.66
3/29/21 12:00,394.65,394.79,394.51,394.52
3/29/21 12:05,394.52,394.60,393.86,393.97
3/29/21 12:10,393.97,394.07,393.61,393.87
3/29/21 12:15,393.85,393.90,393.57,393.66
3/29/21 12:20,393.67,393.89,393.58,393.72
3/29/21 12:25,393.71,394.50,393.69,394.41
3/29/21 12:30,394.42,394.67,394.23,394.67
3/29/21 12:35,394.67,395.08,394.66,394.91
3/29/21 12:40,394.90,395.46,394.80,395.31
3/29/21 12:45,395.31,395.38,395.14,395.25
3/29/21 12:50,395.25,395.76,395.09,395.76
3/29/21 12:55,395.74,395.87,395.68,395.82
3/29/21 13:00,395.81,396.45,395.81,396.29
3/29/21 13:05,396.29,396.52,396.10,396.10
3/29/21 13:10,396.11,396.45,396.08,396.15
3/29/21 13:15,396.16,396.25,395.99,396.03
3/29/21 13:20,396.04,396.17,395.79,395.87
3/29/21 13:25,395.86,395.93,395.53,395.67
3/29/21 13:30,395.66,396.63,395.50,396.58
3/29/21 13:35,396.58,396.64,395.96,396.04
3/29/21 13:40,396.05,396.12,395.86,395.88
3/29/21 13:45,395.86,396.36,395.67,396.11
3/29/21 13:50,396.11,396.33,395.89,395.92
3/29/21 13:55,395.92,395.96,395.53,395.62
3/29/21 14:00,395.62,395.80,395.32,395.47
3/29/21 14:05,395.47,395.78,395.41,395.73
3/29/21 14:10,395.73,395.88,395.15,395.85
3/29/21 14:15,395.85,395.85,395.25,395.45
3/29/21 14:20,395.45,395.72,395.31,395.67
3/29/21 14:25,395.66,395.73,395.38,395.58
3/29/21 14:30,395.57,395.61,394.92,395.16
3/29/21 14:35,395.16,395.26,394.94,395.04
3/29/21 14:40,395.04,395.44,394.90,395.23
3/29/21 14:45,395.21,396.01,395.18,395.70
